timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375128287520,-10,-9,-24,-10,-1,1,0,-4,false,120.875
1526375128287520,9,8,-4,3,0,-4,-2,3,false,129.625
1526375128301532,-11,-4,25,9,2,0,-2,1,false,130.5
1526375128301532,0,3,-4,-1,3,-3,-5,-2,false,126.875
1526375128309537,22,-18,3,7,-1,-1,1,3,false,130
1526375128309537,-9,17,-14,-10,-5,-3,-6,-7,false,123.375
1526375128316542,2,-17,-11,-2,3,-3,-3,-2,false,123.875
1526375128316542,-8,10,14,3,-4,0,6,0,false,130.625
1526375128333552,-3,8,24,8,3,1,-3,1,false,132.875
1526375128333552,1,-14,-9,-17,1,3,2,0,false,123.875
1526375128334549,-8,-15,-25,-17,-8,-5,-5,-4,false,117
1526375128334549,-1,-5,-13,16,-2,-4,0,-2,false,126.625
1526375128346561,1,6,2,0,1,-1,1,0,false,129.25
1526375128346561,3,11,20,5,0,0,1,2,false,133.25
1526375128355566,0,4,13,2,3,2,-2,0,false,130.75
1526375128355566,1,-9,-11,-13,-1,-2,3,-2,false,123.75
1526375128371574,-5,-8,-12,-6,-3,0,2,2,false,124.25
1526375128371574,-6,-7,-17,-3,-1,-1,0,-5,false,123
1526375128377582,4,4,0,2,1,0,-1,-1,false,129.125
1526375128377582,1,-2,8,2,1,0,-2,-2,false,128.75
1526375128393593,-4,8,5,1,-2,-2,-3,-1,false,128.25
1526375128393593,-2,-19,-5,-6,-1,-3,-1,2,false,123.625
1526375128394596,0,-9,-11,1,0,0,2,-2,false,125.625
1526375128394596,-3,10,-7,-3,0,0,-3,-3,false,126.875
1526375128406601,1,15,23,3,1,-4,0,-1,false,132.75
1526375128406601,2,-3,1,10,0,-5,2,0,false,128.875
1526375128415605,-3,2,6,9,-4,5,-2,-1,false,129.5
1526375128415605,-3,-8,-3,-3,-1,1,0,-1,false,125.75
1526375128429613,-9,-19,-26,-14,-5,0,-1,-3,false,118.375
1526375128429613,2,9,-20,-2,0,-3,-1,-1,false,126
1526375128436617,7,12,45,10,2,0,0,3,false,137.875
1526375128436617,10,1,4,5,1,-2,1,3,false,130.875
1526375128452628,-4,7,1,5,1,-1,-1,-2,false,128.75
1526375128452628,-2,-7,-7,-1,0,0,-2,0,false,125.625
1526375128454629,-6,-8,-18,-7,-4,-4,-1,-1,false,122
1526375128454629,-1,1,10,-5,-1,-2,-3,-2,false,127.625
1526375128466639,0,0,-5,-1,3,0,-2,-2,false,127.125
1526375128466639,-3,1,-6,-5,0,3,5,0,false,127.375
1526375128475643,3,-3,-8,0,-2,-1,2,-3,false,126.5
1526375128475643,-7,-2,11,-8,3,-3,-9,-3,false,125.75
1526375128489652,8,3,-12,2,1,4,-2,-2,false,128.25
1526375128489652,1,9,27,17,-1,1,1,2,false,135.125
1526375128496661,3,-1,0,0,-1,-5,-1,1,false,127.5
1526375128496661,-2,-2,-6,-3,-2,-1,1,-1,false,126
1526375128512670,-4,-6,-11,-10,0,1,-1,-2,false,123.875
1526375128512670,0,1,2,-2,-1,2,1,-1,false,128.25
1526375128514669,3,1,-5,0,1,0,-1,1,false,128
1526375128514669,-5,-6,-9,-8,-1,0,0,-2,false,124.125
1526375128526676,-1,-6,-7,-9,-4,-3,5,-1,false,124.75
1526375128526676,-2,-3,-6,2,-4,-1,0,-2,false,126
1526375128535682,7,15,13,18,6,-1,0,1,false,135.375
1526375128535682,3,14,40,12,0,-1,6,4,false,137.75
1526375128549697,-3,-2,-1,-1,-1,5,-3,-1,false,127.125
1526375128549697,-4,-6,-7,-5,-4,-2,-3,-1,false,124
1526375128556701,-6,-13,-25,-15,-2,-1,-3,-3,false,120
1526375128556701,-1,-4,-11,-2,0,1,0,-2,false,125.625
1526375128572713,0,-2,5,5,1,-4,0,-1,false,128.5
1526375128572713,-1,1,0,-5,-1,-1,-1,0,false,127
1526375128574709,-4,-2,-5,0,-1,1,-1,-2,false,126.25
1526375128574709,0,2,-3,0,-2,-1,0,0,false,127.5
1526375128586721,0,4,6,0,0,-2,-1,1,false,129
1526375128586721,0,1,1,2,1,-2,-4,-3,false,127.5
1526375128595722,0,-3,-8,-8,2,1,1,-1,false,126
1526375128595722,6,5,17,14,-2,-2,-1,1,false,132.75
1526375128609739,-5,-2,-2,-1,-5,-2,-3,-3,false,125
1526375128609739,0,-1,-7,-1,-2,2,2,-1,false,127
1526375128616747,-2,-9,0,-2,-3,-3,0,0,false,125.625
1526375128616747,-3,1,-13,-16,0,1,-3,-4,false,123.375
1526375128632750,0,0,10,5,1,-2,-1,-2,false,129.375
1526375128632750,3,16,12,7,0,-2,-2,2,false,132.5
1526375128639756,-1,-1,-8,-10,1,2,-1,0,false,125.75
1526375128639756,-2,-2,-10,-2,-4,-1,-1,-1,false,125
1526375128646761,-2,0,16,19,1,-1,0,-1,false,132
1526375128646761,8,-3,4,2,0,0,1,1,false,129.625
1526375128655767,-3,-2,-5,0,-5,-10,-3,-1,false,124.375
1526375128655767,-6,-8,-7,-8,1,14,0,-1,false,126.125
1526375128669777,0,-1,-17,-8,-2,-2,2,2,false,124.75
1526375128669777,-8,-2,0,-3,-1,-1,-1,-3,false,125.625
1526375128676781,10,2,8,1,-5,-4,-3,-1,false,129
1526375128676781,3,0,-6,-5,8,2,2,6,false,129.25
1526375128692787,-4,0,8,8,3,5,11,-5,false,131.25
1526375128692787,-1,9,20,25,6,5,4,2,false,136.75
1526375128698796,-6,-4,4,-4,-4,-3,-7,-2,false,124.75
1526375128698796,0,-10,-16,-6,-2,-11,-6,-2,false,121.375
1526375128706796,4,2,-7,-28,0,15,0,3,false,126.625
1526375128706796,1,1,7,14,-2,-15,-1,2,false,128.875
1526375128715803,1,4,1,14,7,11,3,0,false,133.125
1526375128715803,-2,1,2,-9,-5,-7,-3,0,false,125.125
1526375128737821,-1,-5,-12,-6,6,9,-4,0,false,126.375
1526375128737821,2,-2,0,-4,-8,-8,0,0,false,125.5
1526375128739818,-4,-2,-5,-3,-4,-2,-1,-1,false,125
1526375128739818,-1,-4,-2,3,1,1,-1,-3,false,127.25
1526375128752827,-1,3,1,3,-2,-3,1,1,false,128.375
1526375128752827,0,-2,2,-12,1,8,-4,0,false,127.125
1526375128758835,-2,-3,-6,1,4,2,0,-1,false,127.375
1526375128758835,-2,0,5,12,-4,0,4,0,false,129.875
1526375128766846,7,7,4,5,1,-5,-3,2,false,130.25
1526375128766846,-3,-6,-5,-1,-4,-5,0,-3,false,124.625
1526375128775842,-2,1,1,-6,-6,3,-4,-1,false,126.25
1526375128775842,-2,-5,-3,-6,-1,3,-2,-2,false,125.75
1526375128789856,-3,-2,-3,-1,0,-5,1,-2,false,126.125
1526375128789856,-2,-3,-10,-9,1,0,-2,-2,false,124.625
1526375128796860,-2,0,0,-13,0,0,3,1,false,126.625
1526375128796860,6,2,1,23,-1,-8,-4,-1,false,130.25
1526375128812872,-5,0,12,2,-5,-11,-2,0,false,126.875
1526375128812872,-1,-2,-1,0,5,6,1,-2,false,128.75
1526375128818875,-1,-2,-5,0,1,7,0,-2,false,127.75
1526375128818875,-5,-10,-8,-11,-4,-3,7,-1,false,123.625
1526375128835888,2,6,-7,-2,-1,-2,-10,-2,false,126
1526375128835888,0,-5,-4,-3,0,-5,-13,-1,false,124.125
1526375128836882,3,1,1,-1,-7,-5,-1,-1,false,126.75
1526375128836882,0,4,6,8,0,-5,0,0,false,129.625
1526375128849895,-2,-9,-7,-5,0,1,2,-2,false,125.25
1526375128849895,0,-4,-1,0,3,1,3,-1,false,128.125
